OTU_ID	2R	19R	26R	31R	42R	51R	62R	68R	71R	81R	84R
288481	0	0	0	0	0	0	0	3	0	0	0
292345	0	0	0	0	0	0	0	18	0	0	0
295699	0	0	0	0	0	0	0	2	0	0	0
296471	0	0	0	0	0	0	0	5	0	0	0
299190	0	0	0	0	0	0	0	3	0	0	0
320625	0	0	0	0	0	0	0	2	0	0	0
321790	0	0	0	0	0	0	0	6	0	0	0
333677	0	0	0	0	0	0	0	2	0	0	0
342524	0	0	0	0	0	0	0	2	0	0	0
355877	0	0	1	0	0	0	0	4096	0	0	0
366783	0	0	0	0	0	0	0	11	0	0	0
378415	0	0	0	0	0	0	0	2	0	0	0
381626	0	0	0	0	0	0	0	7	0	0	0
385359	0	0	0	0	0	0	0	4	0	0	0
389312	0	0	0	0	0	0	0	10	0	0	0
389744	0	0	0	0	0	0	0	3	0	0	0
396763	0	0	0	0	0	0	0	2	0	0	0
410144	0	0	0	0	0	0	0	2	0	0	0
416633	0	0	0	0	0	0	0	79	0	0	0
421363	0	0	0	0	0	0	0	7	0	0	0
425263	0	0	0	0	0	0	0	4	0	0	0
425888	0	0	0	0	0	0	0	2	0	0	0
437364	0	0	0	0	0	0	0	126	0	0	0
438246	0	0	0	0	0	0	0	2	0	0	0
441685	0	0	0	0	0	0	0	2	0	0	0
40174	0	0	0	0	0	0	0	3	0	0	0
299149	0	0	0	0	0	0	0	2	0	0	0
452704	0	0	0	0	0	0	0	5	0	0	0
15960	0	0	0	0	0	0	0	8	0	0	0
34570	0	0	0	0	0	0	0	5	0	0	0
53215	0	0	0	0	0	0	0	84	0	0	0
199956	0	0	0	0	0	0	0	3	0	0	0
203448	0	1	1	0	0	1	0	0	0	0	0
223461	0	0	0	0	0	0	0	2	0	0	0
406854	0	0	0	0	0	0	0	3	0	0	0
407581	0	0	0	0	0	0	0	2	0	0	0
419050	0	0	0	0	0	0	0	2	0	0	0
434352	0	0	0	0	0	0	0	28	1	0	0
453265	0	0	0	0	0	0	0	8	0	0	0
789	0	0	0	0	0	0	0	1	0	1	0
1723	0	0	1	0	0	0	0	1	0	0	0
2969	0	0	0	0	0	0	0	1	0	1	0
5121	0	0	1	0	0	0	0	1	0	0	0
5138	0	0	0	0	0	0	0	0	0	4	0
6339	0	0	1	0	1	0	0	1	0	1	0
8019	0	0	0	0	0	0	0	0	0	1	1
8464	0	0	1	1	0	1	0	0	0	1	0
10350	0	0	1	0	0	1	0	0	0	0	0
12065	0	0	0	0	0	1	0	1	0	1	0
16442	0	0	0	0	0	0	0	1	0	1	0
23485	0	0	0	0	0	0	0	1	0	1	0
25314	0	0	0	0	0	0	0	2	0	1	0
26884	0	0	0	0	0	0	0	2	0	1	0
27259	0	0	0	1	0	0	0	0	0	1	1
29139	0	0	1	0	0	0	0	1	0	0	0
30711	0	0	0	0	0	0	0	3	0	0	0
32499	0	0	1	1	0	0	1	0	0	0	1
36113	0	0	0	0	0	0	0	1	0	1	0
36190	0	0	0	0	0	1	0	0	0	1	0
36454	0	0	0	0	0	0	1	1	0	0	1
39571	0	0	1	0	0	0	0	1	0	0	0
40181	0	0	0	0	2	0	1	1	0	0	1
40456	0	0	0	0	0	0	0	3	0	0	0
42665	0	0	0	0	0	0	0	1	0	0	1
42773	0	0	2	1	0	0	0	0	0	1	0
42928	0	0	0	0	0	0	0	0	0	2	0
44958	0	0	1	0	0	0	0	1	0	0	0
44970	0	0	0	0	0	0	0	2	0	0	0
51740	0	0	0	0	1	1	0	3	0	2	1
53016	0	0	0	1	0	0	0	0	0	2	0
55865	0	0	2	0	0	1	0	1	0	0	2
58952	0	0	1	0	0	0	1	0	0	0	1
60644	0	0	0	0	0	0	0	0	0	0	2
60716	0	0	0	1	0	0	0	0	0	1	0
63944	0	0	0	0	0	1	0	2	0	1	0
65381	0	0	1	0	0	0	0	1	0	0	0
65439	0	0	1	0	0	0	0	2	0	0	0
67107	0	0	0	0	0	0	0	1	0	2	0
68248	0	0	1	0	0	0	0	0	0	0	1
68613	0	0	2	0	0	0	0	0	0	0	0
69043	0	0	1	0	0	0	0	3	0	1	0
70931	0	0	1	0	0	0	0	1	0	0	1
72959	0	0	1	0	0	0	0	2	0	1	0
73203	0	0	0	0	0	0	0	2	0	0	0
75841	0	0	1	0	0	0	0	0	0	2	0
76374	0	0	0	0	0	0	0	0	0	2	0
77588	0	0	0	0	0	0	0	1	0	0	1
77705	0	0	0	0	0	0	0	1	0	3	0
79929	0	0	0	0	0	1	0	1	0	1	0
80050	0	0	0	0	0	0	0	0	0	2	0
81955	0	0	0	0	0	0	0	1	0	0	1
82222	0	0	0	0	0	2	0	0	0	0	0
84646	0	0	0	0	0	0	0	1	0	0	1
84894	0	0	0	0	0	0	0	1	0	1	0
87384	0	0	0	0	0	0	0	0	0	1	1
90236	0	0	0	0	0	0	0	0	0	2	0
90775	0	0	2	1	0	1	0	4	0	1	0
90809	0	0	0	0	0	0	0	2	0	0	0
92606	0	0	0	0	0	2	0	1	0	0	0
94863	0	0	0	0	0	0	0	1	0	3	0
95648	0	0	0	0	0	0	0	2	0	0	0
99229	0	0	0	0	0	0	0	2	0	0	0
99964	0	0	1	0	0	0	0	1	0	0	0
101664	0	0	1	0	0	0	0	1	0	0	0
101935	0	0	0	0	1	1	0	0	0	1	0
103933	0	0	0	0	0	0	1	0	0	1	0
104695	0	0	0	0	0	1	0	0	0	1	0
105082	0	0	0	0	0	1	0	1	0	0	0
106057	0	0	1	0	0	0	0	1	0	1	0
106892	1	0	0	0	0	0	0	0	0	11	0
107955	0	0	0	0	0	0	0	3	0	0	0
112100	0	0	1	0	0	0	0	0	0	1	0
112439	0	0	0	0	0	1	0	0	0	1	0
113067	0	0	1	0	0	0	2	1	0	0	0
120248	0	0	0	0	0	1	0	0	0	2	0
120503	0	0	0	0	0	0	0	2	0	0	0
121121	0	0	0	0	0	0	0	1	0	1	0
125315	0	0	0	0	0	0	0	3	0	0	0
125846	0	0	0	0	0	1	0	2	0	1	0
126018	0	0	1	0	0	0	0	1	0	0	0
128803	0	0	0	0	0	0	0	1	0	1	0
131699	0	0	0	0	0	0	0	2	0	2	0
132244	0	0	0	0	0	0	0	2	0	0	0
132448	0	0	1	0	0	0	0	0	0	1	0
133901	0	0	0	0	0	0	0	1	0	1	1
135265	0	0	0	0	0	0	0	0	0	3	0
137049	0	0	0	0	0	0	1	0	0	1	0
137679	0	0	0	0	0	0	1	1	0	0	0
138396	0	0	0	0	0	0	0	0	0	1	1
140237	0	0	0	0	0	1	0	0	0	1	0
