	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_sp.	0	0.006168141	0	0	0.005267026	0.010077645	0.006107143	0.00427171	0.002618716	0.003372629	0.006769595	0	0.003511995	0.005028428	0.003318087	0	0.005518465	0.003229101	0.004748821	0.006361303	0.004908255	0.005313939	0.007495633	0.004059009	0.005436924	0.00606937
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_spirale	0	0	0	0.003709815	0	0.007125971	0	0	0.00453575	0.008261219	0	0	0.00496671	0.007111271	0	0.005985556	0	0	0	0	0	0.003068004	0.009180238	0	0	0.006882019
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Paragymnodinium; Paragymnodinium_shiwhaense	0.006725131	0	0.003960249	0.014368053	0	0.030232935	0.027986445	0.010463511	0.030200511	0.021857131	0	0	0	0.010056856	0	0.005985556	0	0	0	0.00899624	0	0.003068004	0.029191296	0.028121636	0.028251087	0.035016488
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Polykrikos; Polykrikos_geminatus	0	0	0	0.003709815	0.005267026	0	0	0	0	0	0	0	0	0	0	0	0	0.005592967	0.0164504	0	0	0	0	0	0.00313901	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Polykrikos; Polykrikos_schwartzii	0	0	0	0	0	0	0	0	0.002618716	0	0	0	0	0.018814655	0.007419467	0	0.008725459	0.018266554	0.014507889	0.017992481	0.010975192	0	0.035947792	0.023317229	0.01775692	0.020646058
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniales_X; Levanderina; Levanderina_fissa	0	0	0	0	0	0.008727497	0.006107143	0.009551835	0.00453575	0.004769617	0	0.005457884	0.009291864	0.007111271	0.00995426	0.005985556	0.003902144	0.009687303	0.005483467	0.011018099	0	0.005313939	0	0.007030409	0	0.003244215
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Kareniaceae; Karlodinium; Karlodinium_sp.	0	0	0	0.007419631	0.009122756	0.012342544	0.006107143	0	0.011110273	0.011683128	0.006769595	0.009453333	0.010535984	0.011243907	0.006636173	0.010367288	0.006758711	0.009687303	0.006130702	0.006361303	0.002833782	0	0.006120158	0.005740305	0.005436924	0.009458431
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Kareniaceae; Karlodinium; Karlodinium_veneficum	0.004755385	0	0	0.043263511	0.028848688	0.050388225	0.063271103	0.048517303	0.05634806	0.051259516	0.077481554	0.047892741	0.019866842	0.068394017	0.040092594	0.053536443	0.019897107	0.034173594	0.020333238	0.022936003	0.010217348	0.006136009	0.025784686	0.030912488	0.022635721	0.049520793
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Amphidomataceae; Azadinium; Azadinium_spinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005518465	0.003229101	0.012859869	0.014224305	0.008501347	0.011479421	0	0	0.005436924	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa_cf._niei	0.201473507	0.214115346	0.157366942	0.536398774	0.403469295	0.625930476	0.600739272	0.409906166	0.678914548	0.69044222	0.533339253	0.372017982	0.559874072	0.414776745	0.297981924	0.425395808	0.249615229	0.217071501	0.217635604	0.217868809	0.190180368	0.211981117	0.257301537	0.278626619	0.274120208	0.384045726
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa_pygmaea	0	0.010683533	0	0.011731466	0.009122756	0.025693054	0.026385874	0.01416766	0.035036038	0.025238441	0.016582053	0.010915769	0.010535984	0.015901286	0.008127619	0.008464855	0.003902144	0.005592967	0.007754793	0.014224305	0.008961207	0.005313939	0.006842545	0.012835712	0.00887846	0.005619145
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa_sp.	0	0	0	0.006425589	0.005267026	0.008727497	0.007051921	0.012082221	0.010474866	0.009539234	0.009573653	0	0.007023989	0.005028428	0	0.008464855	0	0	0.005483467	0	0.002833782	0	0.005300213	0	0	0.005129554
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae; Durinskia; Durinskia_dybowskii	0	0	0.007920497	0	0.005267026	0	0	0.00427171	0.002618716	0	0	0.007718614	0.019235987	0	0	0	0.015112938	0	0.006130702	0.019083908	0.010603043	0.023162925	0.003060079	0	0.017193064	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae; Durinskia; Durinskia_sp.	0.037443942	0.042286642	0.033133816	0.039435879	0.057456467	0.071259711	0.056744967	0.097222476	0.03839792	0.095033946	0.100637262	0.153307299	0.321246739	0.072521022	0.025486708	0.077118499	0.109538395	0.015486225	0.103860678	0.089737216	0.082909324	0.13809428	0.042069134	0.106621432	0.097713494	0.114860789
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae; Unruhdinium; Unruhdinium_minima	0	0	0	0	0	0.008727497	0	0	0	0	0.006769595	0.005457884	0.01891267	0	0	0	0.003902144	0	0.004748821	0.00899624	0.006941321	0.004338813	0	0	0.006278019	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Peridiniaceae; Peridinium; Peridinium_sp.	0	0	0	0	0	0.007125971	0	0.00427171	0.005237433	0.003372629	0.006769595	0	0	0	0.006636173	0.008464855	0	0.003229101	0	0.012722605	0.002833782	0.004338813	0.005300213	0.004059009	0.00313901	0.005129554
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Podolampadaceae; Podolampas; Podolampas_elegans	0	0	0	0	0	0.005038823	0.007884288	0	0.005237433	0.004769617	0.011725282	0.009453333	0	0	0	0	0	0.003229101	0	0	0.002833782	0.003068004	0	0	0	0.003973336
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Thoracosphaeraceae; Chimonodinium; Chimonodinium_lomnickii_var._wierzejskii	0	0	0	0.003709815	0	0.013331471	0.009972923	0.00427171	0.01141472	0.011683128	0.009573653	0	0	0.005028428	0.003318087	0	0	0.006458202	0.002741733	0	0	0	0	0.004059009	0.00313901	0.002294006
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Thoracosphaeraceae; Ensiculifera; Ensiculifera_imariensis	0	0	0	0.005246471	0.009122756	0.014251942	0.013192937	0.010463511	0.008281108	0.011683128	0.006769595	0.005457884	0.003511995	0.005028428	0	0	0.003902144	0	0.003877396	0.006361303	0.002833782	0	0.003060079	0.007030409	0.00443923	0.007946671
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Thoracosphaeraceae; Luciella; Luciella_sp.	0	0	0	0	0	0	0.003525961	0.014797639	0	0.004769617	0	0.010915769	0.014900131	0	0	0	0.011036929	0	0.002741733	0	0.006941321	0.007515045	0.003060079	0.008118017	0.00992642	0.002294006
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Thoracosphaeraceae; Pentapharsodinium; Pentapharsodinium_sp.	0	0	0.003960249	0	0.005267026	0	0	0	0.002618716	0	0	0.005457884	0	0	0	0.010367288	0.007804288	0.003229101	0.007253944	0.016830425	0.008015147	0.008677627	0.004327606	0.004059009	0.005436924	0.004588013
