"cluster"	"neighbor"	"dist"	"otu_id"	"taxonomy"	"Level1"	"Level2"	"Level3"	"Level4"	"Level5"	"Level6"	"Level7"
"69"	1	4	0.0505119126895858	"137"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;__;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"__"	"__"	"__"
"70"	1	4	0.0500057092997731	"89"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Choreotrichida_X;Choreotrichida_XX"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"Choreotrichida_X"	"Choreotrichida_XX"
"71"	1	3	0.0476428332101071	"682"	"Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;Bicoecales;Bicoecaceae;__"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"Bicoecea"	"Bicoecales"	"Bicoecaceae"	"__"
"72"	1	4	0.0469448406262145	"732"	"Eukaryota;Stramenopiles;Stramenopiles_X;MOCH;MOCH-5;MOCH-5_X;MOCH-5_XX"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"MOCH"	"MOCH-5"	"MOCH-5_X"	"MOCH-5_XX"
"73"	1	5	0.0461960223049205	"271"	"Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;Pseudoscourfieldiales;Pycnococcaceae;Pycnococcus"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Prasino-Clade-V"	"Pseudoscourfieldiales"	"Pycnococcaceae"	"Pycnococcus"
"74"	1	4	0.0459248357137484	"574"	"Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea_X;Mataza-lineage;Mataza"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Thecofilosea"	"Filosa-Thecofilosea_X"	"Mataza-lineage"	"Mataza"
"75"	1	5	0.0451571810624931	"133"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;TIN_07;Tintinnopsis_07"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Tintinnida"	"TIN_07"	"Tintinnopsis_07"
"76"	1	4	0.0441129561287328	"388"	"Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_M;Monosigidae_Group_M_X"	"Eukaryota"	"Opisthokonta"	"Choanoflagellida"	"Choanoflagellatea"	"Craspedida"	"Monosigidae_Group_M"	"Monosigidae_Group_M_X"
"77"	1	4	0.0435954902571036	"265"	"Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;__"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Palmophyllophyceae"	"Prasinococcales"	"Prasinococcales-Clade-B"	"__"
"78"	1	4	0.0430946673989357	"702"	"Eukaryota;Stramenopiles;Stramenopiles_X;Labyrinthulea;Thraustochytriales;Thraustochytriaceae;Thraustochytriaceae_X"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"Labyrinthulea"	"Thraustochytriales"	"Thraustochytriaceae"	"Thraustochytriaceae_X"
