	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
430	16.8	16.3	35		4.55118337		0.80323694	2.907
431	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
432	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
433	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
434	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
435	19.5	15.6	34		368.516.943		0.39649923	1.56
436	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
437	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
438	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
439	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
440	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
441	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
442	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
443	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
444	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
445								
